dataset,config,seed,loss,rmse,nrmse,mae,mse,elapsed_s
freesolv,lang-only-unfrozen,2027,0.5725076556205749,2.6506601195200163,0.7559045273248034,2.0466997623443604,7.025999069213867,9.24530291557312
freesolv,lang-only-unfrozen,mean+/-std(n=3),0.573866+/-0.058738,2.650317+/-0.135983,0.755807+/-0.038779,2.069247+/-0.147904,7.042671+/-0.720847,29.3
freesolv,fusion-concat,2025,0.36173054323746606,2.106958658327883,0.6008539446410204,1.5868971347808838,4.439274787902832,3.8714399337768555
freesolv,fusion-concat,2026,0.35825384557247164,2.096808860861384,0.5979594664693921,1.5654730796813965,4.396607398986816,4.3148627281188965
freesolv,fusion-concat,2027,0.4665202865233788,2.392757486899431,0.6823568981243506,1.8042067289352417,5.725288391113281,3.8611772060394287
freesolv,fusion-concat,mean+/-std(n=3),0.395502+/-0.050238,2.198842+/-0.137182,0.627057+/-0.039121,1.652192+/-0.107846,4.853724+/-0.616536,12.0
freesolv,fusion-xattn,2025,0.45723041341854975,2.3688141424105393,0.6755288320267147,1.8948183059692383,5.61128044128418,3.2877402305603027
freesolv,fusion-xattn,2026,0.5197654779140766,2.525614929858822,0.720244646116721,2.1057567596435547,6.378730773925781,3.9850289821624756
freesolv,fusion-xattn,2027,0.47977579556978667,2.4265127752924003,0.6919830946817653,1.9060466289520264,5.887964248657227,2.9692914485931396
freesolv,fusion-xattn,mean+/-std(n=3),0.485591+/-0.025859,2.440314+/-0.064753,0.695919+/-0.018466,1.968874+/-0.096899,5.959325+/-0.317348,10.2
freesolv,fusion-moe,2025,0.3779348978629479,2.1536339633034873,0.6141646192482628,1.691545844078064,4.638139247894287,4.138350248336792
freesolv,fusion-moe,2026,0.5361586009080593,2.5651339508238054,0.7315145206068099,1.883468508720398,6.579912185668945,2.6786911487579346
freesolv,fusion-moe,2027,0.4273635444732813,2.290140568612575,0.653093020593647,1.7109553813934326,5.244743824005127,3.99276065826416
freesolv,fusion-moe,mean+/-std(n=3),0.447152+/-0.066093,2.336303+/-0.171136,0.666257+/-0.048804,1.761990+/-0.086263,5.487598+/-0.811112,10.8
freesolv,ensemble,2025,11.062089920043945,3.3259720263471766,0.9484872443498111,2.3603880405426025,11.062089920043945,
freesolv,ensemble-avg,2025,4.342367172241211,2.08383472766945,0.5942595556639004,1.5825579166412354,4.342367172241211,
freesolv,ensemble,2026,7.007285118103027,2.6471277109544653,0.7548971693435228,2.0292797088623047,7.007285118103027,
freesolv,ensemble-avg,2026,4.809677600860596,2.193097718037342,0.6254187331381863,1.6916213035583496,4.809677600860596,
freesolv,ensemble,2027,7.236846446990967,2.690138741215956,0.767162880914817,1.9903898239135742,7.236846446990967,
freesolv,ensemble-avg,2027,4.8946757316589355,2.2123914056194796,0.6309208288934011,1.6317940950393677,4.8946757316589355,
freesolv,ensemble-all,all,6.402514457702637,2.530319042670832,0.7215861459738543,1.9662905931472778,6.402514457702637,
freesolv,ensemble,mean+/-std(n=3),8.435407+/-1.859708,2.887746+/-0.310370,0.823516+/-0.088510,2.126686+/-0.166013,8.435407+/-1.859708,0.0
