dataset,config,seed,loss,rmse,nrmse,mae,mse,elapsed_s
esol,graph+lang+pretrain,2027,0.27676158695094355,1.0873212711309144,0.0824978176115381,0.8230592608451843,1.1822675466537476,30.57682776451111
esol,graph+lang+pretrain,mean+/-std(n=3),0.271916+/-0.004623,1.077722+/-0.009178,0.081770+/-0.000696,0.814175+/-0.006564,1.161569+/-0.019747,76.3
esol,ecfp4-mlp,2025,0.6965856979378556,1.7250125193487118,0.13088106705650537,1.34394109249115,2.97566819190979,6.516635894775391
esol,ecfp4-mlp,2026,0.646573645878682,1.6619348669728116,0.12609520587707804,1.290798544883728,2.7620275020599365,6.021278142929077
esol,ecfp4-mlp,2027,0.6274505257606506,1.6371736827426742,0.12421651214165712,1.2570881843566895,2.68033766746521,5.859898090362549
esol,ecfp4-mlp,mean+/-std(n=3),0.656870+/-0.029148,1.674707+/-0.036980,0.127064+/-0.002806,1.297276+/-0.035752,2.806011+/-0.124515,18.4
freesolv,graph-only,2025,0.4096560273319483,2.366010719610391,0.08272764919396963,1.1456501483917236,5.598006725311279,20.885791063308716
freesolv,graph-only,2026,0.5363348610699177,2.707229673041058,0.09465838207010555,1.3324198722839355,7.329092502593994,19.379467487335205
freesolv,graph-only,2027,0.27957204915583134,1.9545821590687056,0.0683420349012004,1.032528042793274,3.8203914165496826,19.59839153289795
freesolv,graph-only,mean+/-std(n=3),0.408521+/-0.104826,2.342608+/-0.307712,0.081909+/-0.010759,1.170199+/-0.123655,5.582497+/-1.432463,59.9
freesolv,lang-only-frozen,2025,0.12446003034710884,1.3041334060636425,0.045599071054393016,0.9565287828445435,1.7007639408111572,17.902547359466553
freesolv,lang-only-frozen,2026,0.13736022263765335,1.3700534971609715,0.04790396939062387,0.9703840017318726,1.8770465850830078,19.45590305328369
freesolv,lang-only-frozen,2027,0.12690361589193344,1.3168734844762104,0.046044528350458074,0.9608495831489563,1.7341557741165161,20.979547023773193
freesolv,lang-only-frozen,mean+/-std(n=3),0.129575+/-0.005595,1.330353+/-0.028550,0.046516+/-0.000998,0.962587+/-0.005788,1.770655+/-0.076455,58.3
freesolv,lang-only-unfrozen,2025,0.9585177600383759,3.619154590923539,0.12654386934729098,2.5384087562561035,13.09827995300293,14.777069091796875
freesolv,lang-only-unfrozen,2026,0.8497802913188934,3.40769242009969,0.11915008700272436,2.580739736557007,11.612367630004883,15.647696495056152
freesolv,lang-only-unfrozen,2027,1.0041183531284332,3.704243293945108,0.12951899888309348,2.767540454864502,13.721418380737305,14.887297868728638
freesolv,lang-only-unfrozen,mean+/-std(n=3),0.937472+/-0.064742,3.577030+/-0.124677,0.125071+/-0.004359,2.628896+/-0.099548,12.810689+/-0.884705,45.3
freesolv,graph+lang,2025,0.12254663556814194,1.2940698182286683,0.04524719734682945,0.8702147603034973,1.6746166944503784,25.29483699798584
freesolv,graph+lang,2026,0.12291961163282394,1.2960376564106506,0.045316002879044595,0.870062530040741,1.6797136068344116,20.62042999267578
freesolv,graph+lang,2027,0.11833437532186508,1.2716350788394626,0.044462765883960184,0.8691583871841431,1.6170557737350464,24.704158067703247
freesolv,graph+lang,mean+/-std(n=3),0.121267+/-0.002079,1.287248+/-0.011069,0.045009+/-0.000387,0.869812+/-0.000466,1.657129+/-0.028412,70.6
