dataset,config,seed,pretrained,split_protocol,rmse,mae,nrmse,r2,best_epoch,n_params,n_trainable,elapsed_s
lipo,hybrid,2025,False,resplit:deepchem-random,0.8653155562159831,0.6672593355178833,0.7236410778858835,0.4994941518317726,27,7726602,7726602,62.91951107978821
lipo,hybrid,2026,False,resplit:deepchem-random,0.8442188655635028,0.6503490805625916,0.7017203908941824,0.5142995791998558,36,7726602,7726602,72.97591543197632
lipo,hybrid,2027,False,resplit:deepchem-random,0.8516507584217685,0.6490941643714905,0.7077477540921338,0.493469008273689,21,7726602,7726602,56.51636362075806
esol,mola,2025,False,resplit:deepchem-random,0.6243235026325754,0.43898797035217285,0.2973367870496616,0.9012240177344598,47,4817927,4817927,17.114678382873535
esol,mola,2026,False,resplit:deepchem-random,0.6344987278813565,0.4551636278629303,0.3013862023325677,0.91511009899673,39,4817927,4817927,15.147850751876831
esol,mola,2027,False,resplit:deepchem-random,0.5046894876541349,0.3788456320762634,0.23976847268913817,0.9335013183516839,69,4817927,4817927,20.86002779006958
esol,mola-fixed,2025,False,resplit:deepchem-random,0.7607502967490408,0.553490936756134,0.362310641884578,0.8533384507451056,12,4843527,4843527,10.238563299179077
esol,mola-fixed,2026,False,resplit:deepchem-random,0.7084854093622789,0.5173824429512024,0.336529795179761,0.894158414471488,24,4843527,4843527,12.79358720779419
esol,mola-fixed,2027,False,resplit:deepchem-random,0.707528250504309,0.5340791940689087,0.3361333496292138,0.8693070816736425,23,4843527,4843527,12.735073804855347
freesolv,mola,2025,False,resplit:deepchem-random,0.8698579035834562,0.5898464918136597,0.22628561688412274,0.9426061372551743,43,4817415,4817415,8.053020000457764
freesolv,mola,2026,False,resplit:deepchem-random,1.732642261890024,0.8566186428070068,0.4621482093711945,0.8645443321847264,39,4817415,4817415,7.605874300003052
freesolv,mola,2027,False,resplit:deepchem-random,1.0937354495579312,0.7369707822799683,0.28291841269371937,0.917990934632054,15,4817415,4817415,5.170235872268677
freesolv,mola-fixed,2025,False,resplit:deepchem-random,1.2661962279701475,0.8442559242248535,0.3293894248269994,0.8783895605268435,34,4843015,4843015,7.804710388183594
freesolv,mola-fixed,2026,False,resplit:deepchem-random,1.219039442464784,0.864636242389679,0.32515476961378564,0.9329475130475853,42,4843015,4843015,8.768943071365356
freesolv,mola-fixed,2027,False,resplit:deepchem-random,1.1612602658018205,0.8439129590988159,0.30038517198809694,0.9075522346070858,16,4843015,4843015,5.709316968917847
lipo,mola,2025,False,resplit:deepchem-random,0.5747140318412568,0.42904824018478394,0.4806185194409513,0.7792179650459159,62,4818439,4818439,97.32682633399963
lipo,mola,2026,False,resplit:deepchem-random,0.5528188310673591,0.3987610936164856,0.4595067251563004,0.7917312870700762,70,4818439,4818439,103.91841101646423
lipo,mola,2027,False,resplit:deepchem-random,0.5989549277388462,0.43291881680488586,0.4977498120181905,0.7494633834155181,53,4818439,4818439,90.62132382392883
lipo,mola-fixed,2025,False,resplit:deepchem-random,0.7664801823442355,0.5859653353691101,0.6409876042853766,0.6072990175131776,23,4844039,4844039,71.32847666740417
lipo,mola-fixed,2026,False,resplit:deepchem-random,0.7633250197606138,0.5652672648429871,0.6344808829736299,0.6029205946463605,39,4844039,4844039,85.17889547348022
lipo,mola-fixed,2027,False,resplit:deepchem-random,0.7809430091422402,0.604141891002655,0.6489874579794018,0.5740862751593256,21,4844039,4844039,69.32527995109558
esol,mola,2025,False,resplit:deepchem-random,0.6335964762562002,0.4427174925804138,0.3017530811215949,0.8982680177801771,46,4817927,4817927,16.733709573745728
esol,mola,2026,False,resplit:deepchem-random,0.6060981924194637,0.4438880383968353,0.2878959790256554,0.9225394664055637,32,4817927,4817927,13.400763511657715
esol,mola,2027,False,resplit:deepchem-random,0.5296418589505497,0.3736591935157776,0.251622874459071,0.9267632433778176,82,4817927,4817927,20.909568548202515
esol,mola-fixed,2025,False,resplit:deepchem-random,0.7249292043123615,0.5440037250518799,0.34525069061120844,0.8668248508560316,17,4843527,4843527,11.263192653656006
esol,mola-fixed,2026,False,resplit:deepchem-random,0.6666238418374479,0.49613630771636963,0.3166455963538238,0.9062964148607735,30,4843527,4843527,14.073637962341309
esol,mola-fixed,2027,False,resplit:deepchem-random,0.6929684033656409,0.5222859978675842,0.3292162404037921,0.8746306545886154,23,4843527,4843527,12.472528457641602
freesolv,mola,2025,False,resplit:deepchem-random,0.9164356171698481,0.5956456661224365,0.23840238516148018,0.9362951134830391,62,4817415,4817415,9.981783866882324
freesolv,mola,2026,False,resplit:deepchem-random,1.4661834693897846,0.8260232210159302,0.39107557277807153,0.9030035113996776,34,4817415,4817415,7.098062753677368
freesolv,mola,2027,False,resplit:deepchem-random,1.0769603354040056,0.5861132144927979,0.2785791653271804,0.9204872631184816,23,4817415,4817415,5.96366024017334
freesolv,mola-fixed,2025,False,resplit:deepchem-random,1.4042568917345604,0.890845000743866,0.3653046499903979,0.8504239862279256,26,4843015,4843015,6.658013105392456
freesolv,mola-fixed,2026,False,resplit:deepchem-random,1.534797296466688,0.9880349040031433,0.409376960213413,0.8937126874518646,30,4843015,4843015,7.102325916290283
